Time,CellN_m,CellE_m,Elevation_m,PassCount,LastRadioLtncy,DesignName,Task,MeasuredData,Machine,Speed,LastGPSMode,GPSAccTol,TargPassCount,TotalPasses,Lift,LastCMV,TargCMV,LastEVIB1,TargEVIB1,LastEVIB2,TargEVIB2,LastMDP,TargMDP,LastRMV,LastFreq,LastAmp,TargThickness,MachineGear,VibeState,LastTemp
2025/Oct/01 09:30:02.800,1032545.930,-242448.390,5.372,2,10,Sharable-interactive-paradigm,?,Dataset-outside-2765,Machine-Linen-39,0.8km/h,RTK Fixed,Coarse (0.100),4,2,?,?,50.0,?,?,?,?,?,50.0,?,?,?,?,Reverse,Off,?
2025/Oct/01 09:22:49.600,1032546.270,-242448.390,5.401,2,10,Sharable-interactive-paradigm,?,Dataset-outside-2765,Machine-Linen-39,0.9km/h,RTK Fixed,Coarse (0.100),4,2,?,?,50.0,?,?,?,?,?,50.0,?,?,?,?,Reverse,Off,?
2025/Oct/01 09:22:49.700,1032546.610,-242448.390,5.387,2,10,Sharable-interactive-paradigm,?,Dataset-outside-2765,Machine-Linen-39,0.9km/h,RTK Fixed,Coarse (0.100),4,2,?,?,50.0,?,?,?,?,?,50.0,?,?,?,?,Reverse,Off,?
2025/Oct/01 09:22:49.700,1032546.950,-242448.390,5.374,2,10,Sharable-interactive-paradigm,?,Dataset-outside-2765,Machine-Linen-39,0.9km/h,RTK Fixed,Coarse (0.100),4,2,?,?,50.0,?,?,?,?,?,50.0,?,?,?,?,Reverse,Off,?
2025/Oct/01 09:22:49.800,1032547.630,-242448.390,5.347,2,10,Sharable-interactive-paradigm,?,Dataset-outside-2765,Machine-Linen-39,0.9km/h,RTK Fixed,Coarse (0.100),4,2,?,?,50.0,?,?,?,?,?,50.0,?,?,?,?,Reverse,Off,?
2025/Oct/01 09:22:49.800,1032547.970,-242448.390,5.333,2,10,Sharable-interactive-paradigm,?,Dataset-outside-2765,Machine-Linen-39,0.9km/h,RTK Fixed,Coarse (0.100),4,2,?,?,50.0,?,?,?,?,?,50.0,?,?,?,?,Reverse,Off,?
2025/Oct/01 09:30:03.200,1032543.890,-242448.050,5.423,2,10,Sharable-interactive-paradigm,?,Dataset-outside-2765,Machine-Linen-39,1.7km/h,RTK Fixed,Coarse (0.100),4,2,?,?,50.0,?,?,?,?,?,50.0,?,?,?,?,Reverse,Off,?
2025/Oct/01 09:30:03.200,1032544.230,-242448.050,5.413,2,10,Sharable-interactive-paradigm,?,Dataset-outside-2765,Machine-Linen-39,1.7km/h,RTK Fixed,Coarse (0.100),4,2,?,?,50.0,?,?,?,?,?,50.0,?,?,?,?,Reverse,Off,?
2025/Oct/01 09:30:03.300,1032544.570,-242448.050,5.404,2,10,Sharable-interactive-paradigm,?,Dataset-outside-2765,Machine-Linen-39,1.7km/h,RTK Fixed,Coarse (0.100),4,2,?,?,50.0,?,?,?,?,?,50.0,?,?,?,?,Reverse,Off,?
2025/Oct/01 09:30:03.300,1032544.910,-242448.050,5.394,2,10,Sharable-interactive-paradigm,?,Dataset-outside-2765,Machine-Linen-39,1.7km/h,RTK Fixed,Coarse (0.100),4,2,?,?,50.0,?,?,?,?,?,50.0,?,?,?,?,Reverse,Off,?
